country,total_spending_1974_2023,corr_HHI_pubs_contemp,corr_HHI_pubs_lag3,mean_HHI_1974_2023,cluster,pub_growth_ratio,early_share__Biofuels,recent_share__Biofuels,delta_share__Biofuels,early_share__CO2 capture & storage,recent_share__CO2 capture & storage,delta_share__CO2 capture & storage,early_share__Geothermal,recent_share__Geothermal,delta_share__Geothermal,early_share__Hydro,recent_share__Hydro,delta_share__Hydro,early_share__Hydrogen & fuel cells,recent_share__Hydrogen & fuel cells,delta_share__Hydrogen & fuel cells,early_share__Nuclear,recent_share__Nuclear,delta_share__Nuclear,early_share__Ocean,recent_share__Ocean,delta_share__Ocean,early_share__Solar,recent_share__Solar,delta_share__Solar,early_share__Wind,recent_share__Wind,delta_share__Wind
Luxembourg,13.314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,476.647,-0.47804378828066085,-0.79872929697322,0.28309015063518816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,8662.56,-0.48213046798877623,-0.5227816178366338,0.38691830667602306,1.0,22.893685051958432,0.23309281297276194,0.08623970705422533,-0.14685310591853662,0.021553412949058482,0.0789426251280689,0.057389212179010426,0.008849754948096403,0.09516563579099155,0.08631588084289514,0.0,2.5613782112093497e-05,2.5613782112093497e-05,0.098097449089857,0.2240684172579972,0.12597096816814018,0.2826609220644315,0.0657202216066482,-0.2169407004577833,0.0012409456284553013,0.0003301331916669829,-0.0009108124367883184,0.21605421119779136,0.17846260387811635,-0.03759160731967501,0.13845049114954788,0.2710450423101734,0.13259455116062552
New Zealand,293.347,-0.23543042749350743,-0.25527599144213337,0.45519516779111235,0.0,16.29032258064516,0.16331356972906594,0.2499858954287085,0.08667232569964256,0.00482097628367488,0.031756442262937425,0.026935465979262545,0.2352636426433341,0.5462171539796048,0.3109535113362707,0.09418892470642413,0.004777923525014457,-0.08941100118140968,0.39143449228643795,0.11558696173429808,-0.27584753055213984,0.0,0.0,0.0,0.0,0.0,0.0,0.08996757233862922,0.05021227379793791,-0.039755298540691306,0.021010822012433802,0.001463349271498893,-0.01954747274093491
Norway,4767.53,-0.41104527472152974,-0.3537182027411887,0.37544141928515984,0.0,31.933609958506224,0.04007926700091802,0.14651550634674898,0.10643623934583096,0.10233210931431397,0.2418703303245344,0.13953822101022043,0.0011298637101899585,0.009012125355598716,0.007882261645408757,0.060399159663865554,0.042925335482669615,-0.01747382418119594,0.25053845067438746,0.19524663226097583,-0.05529181841341163,0.41706976908410426,0.017593386713350395,-0.3994763823707539,0.01050420168067227,0.0006653246906817845,-0.009838876989990485,0.06859508509286068,0.04881471624819397,-0.019780368844666704,0.04935209377868795,0.2973566425772463,0.24800454879855838
Poland,1355.814,0.2128299670714383,0.8770625439392196,0.23756337332356678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,295.856,-0.43115212753304655,-0.25985130991552846,0.4131352030422472,2.0,6.7105263157894735,0.21174864022518153,0.0,-0.21174864022518153,0.0,0.0,0.0,0.018114848137189787,0.0,-0.018114848137189787,0.0,0.0,0.0,0.02313126762133465,0.5830696292911407,0.559938361669806,0.3492914307478645,0.4169303707088593,0.06763893996099479,0.08128457497456955,0.0,-0.08128457497456955,0.2709331004723795,0.0,-0.2709331004723795,0.0454961378214805,0.0,-0.0454961378214805
Republic of Türkiye,659.316,-0.2086645044096778,0.11240988918485668,0.41286322078629983,1.0,59.5748987854251,0.21566909429915251,0.029240776384617834,-0.18642831791453468,0.036659820696326305,0.03635449631136684,-0.0003053243849594628,0.23608083385320647,0.003583959848809739,-0.23249687400439673,0.018610291385993565,0.4405560625492456,0.42194577116325205,0.2215360675157539,0.13391408387821038,-0.0876219836375435,0.08933640817871487,0.020941436470077325,-0.06839497170863754,0.0,0.002625978898674206,0.002625978898674206,0.14453642500157715,0.29534810141590123,0.15081167641432408,0.03757105906927514,0.03743510424309682,-0.00013595482617832083
Slovak Republic,276.935,-0.016649356314763317,-0.18424964749928852,0.4540329733868796,0.0,83.13636363636364,0.03491755577109602,0.04964794746730942,0.014730391696213395,0.0,0.0,0.0,0.01745877788554801,0.261714524302063,0.24425574641651498,0.02618816682832202,0.0,-0.02618816682832202,0.0,0.04099371809227382,0.04099371809227382,0.9214354995150339,0.47811770511092977,-0.4433177944041041,0.0,0.0,0.0,0.0,0.16952610502742405,0.16952610502742405,0.0,0.0,0.0
Spain,8549.296,-0.48532133951101475,-0.6395416990257294,0.37501064721529176,2.0,31.279498525073745,0.09357675674106754,0.1217464105012893,0.028169653760221763,0.0,0.031214318344635415,0.031214318344635415,0.0,0.008604061769904829,0.008604061769904829,0.005946909961074184,0.004726617137697061,-0.001220292823377123,0.0,0.40464116811571615,0.40464116811571615,0.5307713890420768,0.21947004656157426,-0.3113013424805025,0.0,0.030393728553616606,0.030393728553616606,0.2611302998932523,0.09541508333107608,-0.16571521656217625,0.10857464436252931,0.08378856568449038,-0.024786078678038934
Sweden,3347.227,-0.3805070502021532,-0.30901655274836115,0.3750745302085457,1.0,18.569902048085485,0.5116106284664064,0.3692512739476216,-0.1423593545187848,0.0,0.0750382084525477,0.0750382084525477,0.03384984183618151,0.013240276297990019,-0.020609565538191495,0.02726911311542137,0.04695948507376327,0.019690371958341897,0.07668827063757883,0.20879373022238717,0.13210545958480835,0.1655402543063277,0.029010490863890123,-0.13652976344243758,0.003981497884533006,0.06578238540457065,0.06180088752003765,0.08590733419164631,0.13170044573202608,0.045793111540379766,0.09515305956190488,0.060223704005203535,-0.03492935555670135
Switzerland,6636.606,-0.683258492646065,-0.7367335084078006,0.40941269435270233,0.0,17.80388151174668,0.06507577919561487,0.1221718836469007,0.05709610445128582,0.0,0.03973197935473046,0.03973197935473046,0.021160405813946445,0.08741567885279677,0.06625527303885033,0.034098690272105645,0.06790706079189678,0.03380837051979113,0.09397699456562043,0.12861828677821824,0.034641292212597805,0.5153138236615535,0.28784791296589396,-0.22746591069565958,0.0,0.0,0.0,0.259925685227277,0.23264408207123877,-0.027281603156038225,0.010448621263882081,0.033663115538324274,0.023214494274442193
United Kingdom,28553.571,-0.37112571341918726,-0.5000499940542434,0.5716894050180517,1.0,24.01598629745932,0.06869662220086015,0.05295416932780748,-0.01574245287305267,0.05121399184335219,0.04643503475411059,-0.004778957089241594,0.0006725468182258394,0.002487191560182185,0.0018146447419563456,0.002277691891058176,0.00038712023383852273,-0.0018905716572196534,0.06790032676808075,0.07883789340208011,0.010937566633999363,0.4786219784713279,0.6728852671474591,0.19426328867613119,0.05606708968366985,0.02590143911387507,-0.03016565056979478,0.16140406254147371,0.05736409534420788,-0.10403996719726583,0.11314568978195133,0.06274778911643908,-0.05039790066551225
United States,126930.867,-0.6124400450475117,-0.6624282373827582,0.5184171901973432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
